Realm_Name,Ecoregion_Name,Country_Name,Distance_to_Shore,Exposure,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_DHW,SSTA_DHW_Standard_Deviation,TSA,TSA_Standard_Deviation,Date,Site_Comments,Sample_Comments,Bleaching_Comments
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57467.04,Sheltered,48.94,9,7,2017,5,Hard Coral,28.75,Population,0,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57467.04,Sheltered,48.94,9,7,2017,5,Nutrient Indicator Algae,0.62,Population,0,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57656.01,Sheltered,48.94,9,7,2017,2,Hard Coral,35,Population,0,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57656.01,Sheltered,48.94,9,7,2017,2,Nutrient Indicator Algae,4.38,Population,0,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,43199.05,Sheltered,43.31,7,7,2017,4,Hard Coral,18.75,Population,0,296.51,0.77,0.82,0,0,3.07,-4.77,2.2,2017-07-07,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,43199.05,Sheltered,43.31,7,7,2017,4,Nutrient Indicator Algae,2.5,Population,0,296.51,0.77,0.82,0,0,3.07,-4.77,2.2,2017-07-07,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,41586.65,Sheltered,48.37,5,8,2017,5,Hard Coral,46.88,Population,0,298.59,-2.3,2.23,0,0,12.28,-2.57,2.24,2017-08-05,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,41586.65,Sheltered,48.37,5,8,2017,5,Nutrient Indicator Algae,1.88,Population,0,298.59,-2.3,2.23,0,0,12.28,-2.57,2.24,2017-08-05,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,145.07,Exposed,43.52,7,7,2017,5,Hard Coral,52.5,Population,0,295.84,1.62,1.02,0,3.7,3.68,-6,2.92,2017-07-07,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,145.07,Exposed,43.52,7,7,2017,5,Nutrient Indicator Algae,0.62,Population,0,295.84,1.62,1.02,0,3.7,3.68,-6,2.92,2017-07-07,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,54.69,Sheltered,51.46,24,11,2015,2,Hard Coral,9.38,Population,0.25,299.83,0,0.72,0,1.1,2.65,-2.24,2.22,2015-11-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,54.69,Sheltered,51.46,24,11,2015,2,Nutrient Indicator Algae,0,Population,0.25,299.83,0,0.72,0,1.1,2.65,-2.24,2.22,2015-11-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,22,9,2016,6,Hard Coral,71.88,Population,0.25,297.41,0.8,0.72,0,0,2.65,-4.23,2.22,2016-09-22,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,22,9,2016,6,Nutrient Indicator Algae,0,Population,0.25,297.41,0.8,0.72,0,0,2.65,-4.23,2.22,2016-09-22,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,184.65,Sheltered,51.57,22,9,2016,15,Hard Coral,1.25,Population,0.25,297.41,0.8,0.72,0,0,2.65,-4.23,2.22,2016-09-22,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,184.65,Sheltered,51.57,22,9,2016,15,Nutrient Indicator Algae,10.62,Population,0.25,297.41,0.8,0.72,0,0,2.65,-4.23,2.22,2016-09-22,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57425.12,Sheltered,48.94,8,7,2017,8,Hard Coral,70.62,Population,0.5,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-08,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57425.12,Sheltered,48.94,8,7,2017,8,Nutrient Indicator Algae,0.62,Population,0.5,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-08,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,220.26,Exposed,43.52,15,10,2017,2,Hard Coral,6.25,Population,0.5,301.47,1.59,1.02,0,15.59,3.68,-1.71,2.92,2017-10-15,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,220.26,Exposed,43.52,15,10,2017,2,Nutrient Indicator Algae,69.38,Population,0.5,301.47,1.59,1.02,0,15.59,3.68,-1.71,2.92,2017-10-15,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,Sometimes,43.39,24,10,2015,4,Hard Coral,28.75,Population,0.75,301.69,-0.14,0.98,0,2.77,3.32,-3.02,2.88,2015-10-24,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,Sometimes,43.39,24,10,2015,4,Nutrient Indicator Algae,1.25,Population,0.75,301.69,-0.14,0.98,0,2.77,3.32,-3.02,2.88,2015-10-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,27,11,2015,6,Hard Coral,66.25,Population,0.75,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-27,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,27,11,2015,6,Nutrient Indicator Algae,0,Population,0.75,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-27,nd,nd,nd
